chunk_id,source_file,page,category,content
SP-0000,MRI-SOP.pdf,0,safety_sop,"Cardiff Critical Care Standard Operating Procedures
SOP Title 
  
Authors:  Darren Beacham, Faye Roberts, Tom West 
Internal reviewer: Internal reviewer          
External reviewer: External reviewer 
Version: 1  Issue Date: Issue date  Review Date: Review date 
  
Transfer Level 3 Patients to MRI from Red/Amber/Purple zones - please see 
end of document for applicability to patients in blue zones 
MRI is a hazardous environment for both staff and patients necessitating meticulous plan-
ning and preparation. 
Minimum Personnel 
•Two “Airway” doctors/ ACCP (one “dirty”, one “clean”).  One doctor to be at least ST5 ICU/ 
anaesthesia or equivalent experience clinical fellow – lower grades may be substituted solely at"
SP-0001,MRI-SOP.pdf,0,safety_sop,"anaesthesia or equivalent experience clinical fellow – lower grades may be substituted solely at 
ICU/ anaesthetic  consultant discretion.  Medical escort is not necessary for level 2 patients.   
•One critical care nurse. 
•One critical care technician/ experienced ODP. 
•Four members of critical care staff in full PPE will be required if the patient is subject to spinal 
precautions.  A radiographer will not necessarily be available to help position the patient partic-
ularly after 20:00.  
All accompanying personnel should complete both an MRI safety questionnaire for them-
selves (available from the MRI team) and the e-learning for health module “Managing pa-
tients undergoing General Anaesthesia in the MRI unit” (further details at the end of this"
SP-0002,MRI-SOP.pdf,0,safety_sop,"tients undergoing General Anaesthesia in the MRI unit” (further details at the end of this 
SOP).  Staff unfamiliar with the local MRI environment and equipment should also watch 
the MRI familiarisation video available on the “Critical Care Cardiff” YouTube channel 
and via cardiffcriticalcare.co.uk.   
All accompanying personnel to remove all metal objects from their person prior to com-
mencing transfer.   
Staff cannot enter the scan room if they wear a hood as these are not MRI safe. 
Equipment 
•Prior to commencing transfer the Anaesthetic machine and patient monitoring in MRI has to be 
checked by the ITU Technician/ODP (The monitoring in MRI is not standard monitoring- you 
will need a trained ITU Technician/ODP who is familiar with this, the radiographers are also"
SP-0003,MRI-SOP.pdf,0,safety_sop,"will need a trained ITU Technician/ODP who is familiar with this, the radiographers are also 
familiar with this monitoring equipment and can help as well). 
•Adequate portable oxygen for transfer to and from the MRI scanner. 
•Adequate supplies of drugs and infusions for the duration of the scan.  No drugs or fluids are 
available in MRI.   
•Any infusions that will need to be kept running during the procedure will need to be duplicated 
with 4 primed infusion lines of length 8 metres (4 infusion lines connected together).  You will 
also need a 50ml syringe of NaCl with a primed infusion line to use as a bolus line during the 
procedure, in addition you will need a 1000ml bag of NaCl for use as additional flushes.  These"
SP-0004,MRI-SOP.pdf,0,safety_sop,"procedure, in addition you will need a 1000ml bag of NaCl for use as additional flushes.  These 
will all need to be drawn up by a member of the medical team in a blue zone as well as clean 
pumps brought from that area. 
Page  of   17
Cardiff Critical Care SOP 001"
SP-0005,MRI-SOP.pdf,1,safety_sop,"Cardiff Critical Care Standard Operating Procedures
•Note the 8 metre infusion line requires 16ml to flush it.   
Patient 
•Prior to transfer, ensure that the MRI team have completed an MR safety questionnaire for the 
patient and are happy that the scan is safe to proceed. 
•Disconnect all unnecessary infusions. 
•Establish on IV sedation +/- vasopressors as required prior to leaving ICU.  The patient should 
be sedated with IV sedation rather than volatile agents for the scan as it is not possible to adjust 
the volatile concentration once the patient is undergoing the MRI scan.   
•Ensure removal from patient of:   Oesophageal Doppler probe   
     PiCCO catheter    
     Swan-Ganz catheter    
     Excess ECG tabs    
     Patches- e.g. Fentanyl/GTN/nicotine"
SP-0006,MRI-SOP.pdf,1,safety_sop,"PiCCO catheter    
     Swan-Ganz catheter    
     Excess ECG tabs    
     Patches- e.g. Fentanyl/GTN/nicotine  
     Temperature probe catheters  
     In-line suction  
     Hearing aids     
     Dentures     
•Any metal in patient’s clothing (including the linen tags in patient gowns, blankets and sheets) 
should be removed        
•FloSwitch arterial lines should be substituted for Leadercath or Abbocath arterial lines. 
•The arterial line transducer must be positioned on the patient’s midline.  
 
Process 
•The patient is attached to the ITU transfer trolley by an appropriately trained person. 
•Prior to leaving ITU, ensure staff in MRI are aware that you are leaving and that the pa-
tient is COVID-19 positive or potentially COVID-19 positive so they have enough time to"
SP-0007,MRI-SOP.pdf,1,safety_sop,"tient is COVID-19 positive or potentially COVID-19 positive so they have enough time to 
prepare and don PPE.  Contact numbers – 47134 and 47133.  
•Upon leaving the unit, the bed and transfer trolley wheels and staff shoes will need to be 
cleaned using clinell wipes.  Staff need to change their apron and gloves. 
•The “clean” airway Doctor/ACCP will remain in the MRI control room for the duration of 
the case, they will not be able to assist patient transfer.   
•The door to the control room must remain closed at all times, communication to the 
“dirty” staff will be via telephone or walkie talkies. 
•Once in the MRI suite move the patient into the anaesthetic room.  Transfer the patient 
onto the MRI scan bed.   Ensure appropriate, MRI conditional monitoring is attached, and"
SP-0008,MRI-SOP.pdf,1,safety_sop,"onto the MRI scan bed.   Ensure appropriate, MRI conditional monitoring is attached, and 
MR safety checks are completed.  Standard ECG tabs are metallic and will need to be ex-
changed for MRI conditional ones in the MRI suite.   
•Move the patient to just outside the MRI scan room.  Do not take the patient into the MRI 
scan room at this point.  Attach the patient to the anaesthetic machine, using the long cir-
cuit from inside the MRI scan room. Ensure that the patient ET tube is clamped before 
connection/disconnection (outside of scan room).  
Page  of   27
Cardiff Critical Care SOP 001"
SP-0009,MRI-SOP.pdf,2,safety_sop,"Cardiff Critical Care Standard Operating Procedures
•Sedation should be maintained with an IV agent as this can be controlled from the control 
room, whereas volatile concentration cannot be changed once the patient is undergoing 
the MRI scan.   
•The anaesthetic machine must not enter the dark grey circle around the MRI scanner.   
•Whilst still outside the MRI scan room connect long length infusion lines from the second 
“clean” set of infusions and the saline infused bolus line to the patient via the hole in the 
wall (or wave guide) from the MRI control room.  Remove infusion lines and pumps 
transferred with the patient from ICU.  Pumps are not safe to go in the MRI scan room. 
•The patient is then transferred into the MRI scan room itself.  Only staff who have com-"
